WWW 2010 External Reviewers 

Mohammad Ali Abbasi 
Jaafer Ben Abdallah 
Ittai Abraham 
Salem Alelyani 
Mauro Andreolini 
Yuki Arase 
Nikolay Archak 
Martin Atzmueller 
Pranjal Awasthi 
Suhrid Balakrishnan 
Lorena Leal Bando 
Geoffrey Barbier 
Hila Becker 
Behshad Behzadi 
Dominik Benz 
Michele Berlingerio 
John Bethencourt  
Chiranjib Bhattacharyya 
Jeffrey P. Bigham 
Sebastian Blohm 
Avrim Blum 
Mario Boley 
Vinayak Borkar 
Marco Brambilla 
Janez Brank 
Mirko Bronzi 
Andreas Broschart 
Adriana Budura 
Ngoc Bui 
Yichuan Cai 
Nuno Cardoso 
Paula Carvalho 
Michele Catasta 
Bogdan Cautis 
Yan-Ying Chen 
Wei Chen 
Xinyu Chen 
Zhicong Cheng 
Tao Cheng 
Tzu-Hsuan Chiu 
William D. Cole 
Carlos Costa 
Francisco Couto 
Valter Crescenzi 
J. Shane Culpepper 
Ronan Cummins 
Na Dai 
Lorand Dali 
Ovidiu Dan 

Marina Danilevsky 
Minh Dao-Tran 
Hongbo Deng 
Nikhil Devanur 
Jasbir Dhaliwal 
Nicholas Diakopoulos 
Wenkui Ding 
Casey Dugan 
Quang Duong 
Nurcan Durak 
Kai Eckert 
Will Enck 
Jérôme Euzenat  
Xin Fan 
Ronen Feldman 
Fred Freitas 
Christian Fritz 
Ingo Frommholz 
Wojciech Galuba 
Jing Gao 
Huiji Gao 
Lei Gao 
Bin Gao 
Hector Andrés García-Silva 
Guilliermo Garrido  
Xubo Geng 
Rigel Gjomemo 
Bin Goa 
Michaela Goetz 
Andrew Goldberg 
Fabio Gonzalez 
Sriram Govindan 
Jorge Gracia 
Jessica Gronski 
Yang Guo 
Aayush Gupta 
Manish Gupta 
Parisa Haghani 
Gen Hattori 
Basheer Hawwash 
Yin He 
Di He 
Stijn Heymans 
Liangjie Hong 
Liang-Chi Hsieh 
Francis Hsu 
Yunhua Hu   
Yu Huang 
Giovambattista Ianni 

Dino Ienco 
Jon Iturrioz 
Shaili Jain 
Markus Jakobsson 
Mohsen Jamali 
Rongrong Ji 
Yunliang Jiang 
Xin Jin 
Patrick Jordan 
Nobuhiro Kaji 
Toshihiro Kamishima  
Mohammad Khabbaz 
Evgeny Kharlamov 
Hyung Sul Kim 
Sangkyum Kim 
Nitish Korula 
Thomas Krennwallner 
Meghana Kshirsagar 
Shamanth Kumar 
John Lai 
Riccardo Lancellotti 
Luigi Laura 
Timothy Lebo  
Tim Lebo  
Wen-Yu Lee 
Anna Leontyeva 
Zhiwei Li 
Rui Li 
Zhisheng Li 
Yingjie Li 
Yen-Liang Lin 
Zhenjiang Lin 
Lu Liu 
Ziyang Liu 
Xingjie Liu 
Christoph Lofi 
Esther Lozano-Hontecillas 
Hao Ma 
Craig Macdonald 
Angela Maduko 
Hamid Mahini 
Ziqing Mao 
Justin Martineau 
Winter Mason 
Christian Meilicke 
Paolo Merialdo 
Thomas Mikalsen 
Zoltan Miklos 
Zhaoyen Ming 

WWW 2010 External Reviewers 
Continued 
 
Roberto Mirizzi 
Olana Missura 
Samaneh Mogghaddam 
Mojtaba Mojtaba Torkjazi 
Yadong Mu 
Alejandro Mussi 
Y. Narahari 
Arvind Narayanan  
Sivarama Krishna Natarajan 
Bingbing Ni 
Igor Nitto 
Yuan Niu 
Tommaso Di Noia 
Magdalena Ortiz 
Giuseppe Ottaviano 
Rasmus Pagh 
Bostjan Pajntar 
Zhengxiang Pan  
Panagiotis Papadimitriou 
Manos Papagelis 
Cristhian Parra 
Sandy Perez 
Kim Pham 
Benjamin Piwowarski 
Foster Provost 
Xiaoguang Qi 
Tao Qin 
Ning Qu  
Balazs Racz 
Parikshit Ram 
Nikhil Devanur Rangarajan 
Malvika Rao 
Daniel Reeves 
Magdalena Reichel 
Werner Retschitzegger 
Jan Rupnik 
esin saka  
 
 

Cássia Trojahn dos Santos 
Joachim Selke 
Sergej Sergej Sizov 
Sven Seuken 
Qihong Shao 
Marc Shapiro 
Shashvata Sharma 
Joshua Shinavier  
Joseph Siefers 
Dezhao Song  
Philipp Sorg 
Lakshmi Subramanian 
Yizhou Sun 
Byung Chul Tak 
Lu An Tang 
Jinhui Tang 
Shuo Tang 
Lei Tang Tang  
Yuan Tian 
Mitja Trampus 
Konstantin Tretjakov 
Katrin Ullrich 
Masoud Valafar 
Shankar Vembu 
Boris Villazón-Terrazas 
Le Hung Vu 
Chi Wang 
Xin-Jing Wang 
Xufei Wang 
Changhu Wang 
Bo Wang 
Kai Wang 
Jianshu Weng 
Tim Weninger 
Walker White 
Bryce Wiedenbeck 
Tak Lam Wong 
Yuk Wah Wong 
Adam Wright 

Xiangye Xiao 
Min Xie 
Xin Xin 
Xing Xing  
Jingfang Xu 
Gu Xu 
Jun Xu 
Zhenzhen Xue 
Zaihan Yang 
Yi-Hsuan Yang 
Haiqin Yang 
Zi Yang 
Mao Ye 
Shiren Ye 
Dawei Yin 
Peifeng Yin 
Naoki Yoshinaga 
Xiangxing Yu 
Xiao Yu 
Yang Yu  
Hamid Nazer Zadeh 
Reza Zafarani 
Zhengjun Zha 
Lanbo Zhang 
Qirun Zhang 
Jingying Zhang 
Chengyang Zhang 
Xingjian Zhang 
Zhenjie Zhang 
Haoqi Zhang 
Peixiang Zhao 
Wenchen Zheng 
Yu Zheng 
Hengzhi Zhong 
Chao Zhou 
Yangfan Zhou 
Mianwei Zhou 
Caecilia Zirn 


